Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-10-19,5167.820565,5394.206406,5890.122274,8601.308571,9826.826278,5998.723054,6390.455747,6740.914311,6370.786123,3768.81292,4442.1937,7730.036858,3497.485883,2.731164616
2017-10-20,4467.304704,4892.395941,5910.647241,8553.845326,10483.86899,6330.916201,6533.450404,7497.447192,6370.653541,2576.51238,4418.860215,8977.527912,3518.49217,2.718470506
2017-10-21,3888.788076,4380.838455,5909.084036,8542.638065,10263.2229,6382.454479,6662.945024,7855.984671,6375.622719,2574.991449,4370.844686,9478.089278,3725.367642,2.736979712
2017-10-22,3703.101791,4198.45594,5878.639512,8527.104071,9926.663428,6370.163498,6567.755541,8176.645604,6396.874118,2573.630042,4310.207283,9387.323661,4170.632584,2.715673356
2017-10-23,4064.007826,4491.245345,4716.046567,7192.93987,9994.628679,6375.7328,6357.346229,8395.429103,6428.01246,2564.781973,4238.10357,9382.642001,4420.814158,2.680994164
2017-10-24,5024.269539,5392.446676,3025.436754,4795.356958,10130.92811,6377.619899,6320.05837,8415.927215,6442.916192,3536.558626,4201.556823,9527.591124,4411.435678,2.729353506
2017-10-25,4769.509151,5195.743239,3209.574078,4290.896991,9705.48835,6190.295323,6256.402142,8312.942943,6442.308617,5649.559591,4201.565012,9353.69907,4399.608055,2.691287693
2017-10-26,3181.095539,3565.844256,4781.634025,5973.897925,9274.096538,6081.952236,6142.31354,8008.660012,6292.023012,6877.072677,4201.750097,9197.529868,4371.152863,2.724061869
2017-10-27,2709.241163,2921.702578,5645.201928,7197.481171,9300.113139,6106.534136,5993.762416,7932.276892,6289.46737,6860.672137,4202.060345,9039.572143,4316.595641,2.758532407
2017-10-28,3309.191244,3422.648003,5806.23605,7295.965908,9101.402697,5970.228932,5920.082511,8030.44558,6422.268824,6705.959499,4247.800335,8743.2058,4287.141381,2.723639898
2017-10-29,4258.683404,4398.034177,5249.942179,6420.685803,9223.794059,5897.992714,5950.632231,8005.69894,6398.236913,6711.522871,4197.3208,8754.697508,4289.639585,2.748171159
2017-10-30,5066.888589,5273.692497,4760.595585,6015.207023,9453.93498,5913.9935,5848.943796,8073.969646,6344.737651,6755.095861,4206.573706,8822.284648,4113.33753,2.744079037
2017-10-31,4595.099062,4831.537021,5610.897601,6996.274014,9387.959127,5902.686646,5752.662289,7433.883726,6284.214669,6745.334068,4259.987546,8827.044219,4027.57637,2.745235776
2017-11-01,4267.389293,4507.15749,5717.23546,6951.076322,9873.285934,5897.324441,5677.853942,6544.547109,6274.661461,6768.577428,4149.689978,9033.832225,4128.256222,2.734768331
2017-11-02,4192.44402,5058.312381,4783.083906,6199.525833,6218.905923,3507.714276,3209.58862,4344.520574,5248.597317,3877.176441,2605.011351,5780.85472,2876.675553,2.616559131
2017-11-03,4939.154162,6009.309319,4260.988277,6008.573754,1815.373443,2027.04851,1788.720206,3176.582292,4906.715056,2227.76767,1555.27805,3126.490705,2161.629015,2.507284943
2017-11-04,5622.304773,6295.195393,4724.786864,6339.783811,1865.435953,3860.311387,4024.967808,4635.442747,6081.401861,4502.141109,2840.653431,5166.532175,3017.509602,2.668608518
2017-11-05,5192.589901,5872.600642,4487.068089,5577.127514,5008.822611,4656.525454,5716.326335,5460.175624,6424.105513,6035.294452,3798.569402,6753.068452,3416.875166,2.752881855
2017-11-06,5003.200778,5662.460231,4064.125369,5157.154852,8331.723028,4427.82968,6571.752052,5371.97677,6299.029195,6895.313268,3723.0526,6878.307689,3597.92123,2.780612581
2017-11-07,4998.005427,5648.062756,4606.499783,5978.121662,8617.030611,4364.239604,6989.079358,5038.93779,6299.120488,7165.965372,3512.702127,6609.749276,3669.200218,2.724498725
2017-11-08,4972.822554,5350.918468,4384.132111,5795.353835,9289.545165,4979.140078,7098.09604,5496.502503,6349.38267,7153.203071,3783.097292,7068.318442,3669.328303,2.747328736
2017-11-09,5028.701248,4967.209602,3869.975348,5247.621456,10548.72368,5680.704513,7191.256244,6239.175092,6468.681474,7132.551046,4165.20468,7583.959144,3667.42492,2.691443202
2017-11-10,4705.513975,4654.058793,4083.047031,4710.864267,11182.6589,5767.174821,7159.738376,7041.08358,6544.386934,7029.329717,4184.489616,7632.750592,3666.655937,2.735604948
2017-11-11,5037.401774,5103.537602,3826.653785,3751.155976,11488.89705,5695.805532,7114.708593,7564.51146,6551.029593,6931.550036,4087.668873,7621.962542,3667.36237,2.721774856
2017-11-12,6143.980935,5941.789107,4162.795921,4559.337188,10927.15862,5348.123123,6756.439673,7069.307457,6551.000894,6833.178299,3829.991407,7194.382465,3646.518096,2.722329783
2017-11-13,5483.279728,5174.548154,5753.167145,7145.451786,10025.56875,4864.167513,6268.08945,6424.521835,6550.51065,6967.757942,3494.11424,6645.09206,3622.80336,2.696972693
2017-11-14,4155.576065,3969.500229,6329.062463,8212.202343,10166.63186,4911.508849,6311.72535,6503.657774,6550.376662,7321.496927,3534.896758,6725.774197,3620.119563,2.668128939
2017-11-15,4245.49749,4132.560412,6147.841442,8211.746842,10255.73784,4933.906696,6349.78403,6562.712458,6550.06025,7394.750628,3565.306023,6777.468911,3678.761036,2.66532443
2017-11-16,4118.816734,4094.27675,6015.769404,8233.400023,9989.356407,4769.776664,6225.931746,6387.497512,6590.541076,7358.779301,3473.624794,6623.322593,3918.729089,2.706413871
2017-11-17,3772.167245,4127.926669,5841.992359,7738.965314,10044.26884,4768.379124,6197.256688,6430.244744,6639.124947,7377.382074,3492.053007,6666.606972,4151.482063,2.784145957
2017-11-18,4695.795216,5742.552312,5682.548936,7295.730238,10350.13642,4865.99786,6302.336176,6644.450422,6642.663389,7407.254564,3584.610221,6862.475922,4205.105741,2.786252409
2017-11-19,5446.256593,6675.413107,5426.324739,6773.175076,10637.18272,4959.393778,6483.873645,6864.703087,6630.845355,7396.528815,3670.841767,7044.974775,4237.303839,2.71242732
2017-11-20,5446.013382,6531.208944,4997.774579,5917.706201,10837.41945,5059.657293,6590.372425,7010.669262,6622.678442,7383.067423,3729.723287,7169.596418,4274.003666,2.735415239
2017-11-21,5446.654058,6623.748285,5288.184781,6096.79036,10917.87861,5112.304501,6630.533119,7053.919118,6622.618235,7373.637694,3752.774957,7218.411094,4280.815359,2.738529771
2017-11-22,5446.746385,6654.889259,5211.049755,5519.904447,10875.61677,5111.585621,6455.210885,7028.765125,6622.556917,7234.526412,3697.760807,7237.544461,4278.987965,2.721865667
2017-11-23,5448.827976,6605.978988,5401.274066,4758.926766,10252.23409,4870.184748,5978.076112,6591.357198,6576.573359,6834.867119,3456.095379,6951.546666,4279.252121,2.714929086
2017-11-24,5464.123383,6584.435693,5805.748586,4960.353783,9677.677312,4560.169552,5757.777861,6291.789279,6504.196604,6656.928689,3316.446864,6741.876923,4281.242639,2.658195806
2017-11-25,5038.613931,6078.158561,5583.799972,5590.339429,9726.35455,4427.571406,5848.778201,6445.62882,6478.308867,6752.095147,3379.706308,6870.504256,4281.131479,2.763227308
2017-11-26,5028.064594,6005.255857,5891.824194,6883.993797,9818.188364,4351.27447,5873.10702,6493.746343,6680.5884,6780.952927,3399.334414,6909.010474,4281.008835,2.623884381
2017-11-27,5506.661475,6437.850768,6128.534633,7263.510932,9978.328726,4429.347549,5969.752854,6648.776886,7316.219643,6876.330525,3462.7318,7040.659957,4280.235123,2.634271688
2017-11-28,5545.738217,6449.070365,6133.6961,6996.396059,9799.54224,4683.228509,5957.55978,7057.963024,7705.082,6892.013075,3474.933939,7111.387586,4314.248914,2.650499732
2017-11-29,5481.314359,6319.526383,6154.400879,7185.446821,9278.423096,4823.530414,5725.277405,7512.867414,7654.987698,6748.239455,3383.942493,6993.99721,4413.309201,2.63080819
2017-11-30,5425.51444,6037.758848,6158.531527,7461.793502,9026.173534,4797.410312,5592.162287,7428.401218,7309.741326,6671.976499,3337.473858,6922.946269,4486.93705,2.678857851
2017-12-01,3951.612705,4856.432761,6164.797251,7464.950227,9247.18779,4926.390998,5709.051328,7246.078167,6673.701368,6783.306839,3415.796413,7085.04136,4485.455395,2.741658719
2017-12-02,3368.96749,4500.944656,6168.437326,7464.87907,9360.959471,4989.815359,5765.699205,7290.004416,6280.235616,6834.570937,3453.398687,7163.176764,4546.055564,2.678707727
2017-12-03,4868.351338,5402.493582,6167.505398,7464.494013,9222.021734,4910.746691,5679.222641,7287.630533,6375.53134,6751.870483,3400.025997,7052.984119,4620.092906,2.712894066
2017-12-04,5436.300205,5672.83443,6166.35523,7457.528561,9085.618573,5165.542821,5601.317375,7105.767655,6580.655372,6676.888097,3351.823786,6974.31294,4529.013906,2.70526691
2017-12-05,5614.132937,5859.360976,6225.900797,7457.56174,9089.902417,5554.057829,5611.489677,6835.216895,6586.720673,6681.415175,3359.667831,6980.93628,4373.361431,2.704997425
2017-12-06,5879.882164,5911.434416,6049.673654,6990.171828,9055.81251,5603.381684,5609.806831,6665.830284,6555.366694,6555.151916,3508.972455,6951.746013,4324.770614,2.74912109
2017-12-07,5979.871716,5738.205062,5751.256408,6385.840532,9271.391747,5750.729175,5743.378042,6611.399878,6508.156136,6258.575511,4003.031244,7167.642832,4371.584552,2.731818449
2017-12-08,5741.856533,5439.754437,5881.693598,6819.779828,9541.745253,5866.515833,5893.909216,6417.028753,6485.292011,6127.258915,4364.446612,7354.321531,4388.878375,2.701756516
2017-12-09,5804.000896,5600.840067,5882.491742,7492.72705,9660.298842,5479.510526,6156.56533,5414.980602,6466.131838,6138.804743,4341.024109,7623.434768,4372.559293,2.743181941
2017-12-10,6055.840318,6203.739786,5555.571332,7118.30355,6499.836399,3517.493226,4517.730923,3877.786475,6460.616689,5131.100272,3368.36977,5437.316291,3843.918244,2.750614746
2017-12-11,5960.587767,6414.401983,6264.862092,7411.776337,4028.462113,3054.777246,3207.321739,4605.679146,6460.642187,5165.21047,3353.913371,4222.359764,3717.431121,2.767610078
2017-12-12,5919.873019,6359.758809,6591.16156,7438.952823,5957.6609,4841.44317,5069.70123,6309.730166,6446.506546,6693.494155,4339.104778,6875.920216,4182.748291,2.765255303
2017-12-13,5967.873068,6510.962826,5973.572812,6522.517233,8081.245427,4472.835308,6199.004576,6482.349234,6386.8485,7150.392985,4375.440289,8017.589018,4324.631227,2.722609112
2017-12-14,5593.098937,6615.648676,6182.332909,6667.612209,9416.492633,3219.776124,6062.771148,6514.973393,6350.48576,7143.815493,4419.873153,7865.755192,4347.915044,2.707503493
2017-12-15,5116.692198,6611.34387,6220.760243,6742.214553,9684.703836,2998.204573,6048.957901,6638.894797,6362.295289,7150.783,4446.870566,7803.258987,4248.678061,2.671008112
2017-12-16,5058.168593,6646.555763,4235.282027,5014.951578,9775.564166,4546.065947,6205.516668,6941.373588,6364.795341,7114.920927,4405.814712,7762.764253,4238.906706,2.640780218
2017-12-17,4987.515166,6659.831355,4318.063713,5049.568573,9369.31472,5759.599362,6082.592042,7016.424088,6365.105928,6795.550524,4132.670518,7513.842752,4257.485035,2.73181122
2017-12-18,4971.719573,6673.405356,6616.620367,7006.74264,8889.371103,5454.001727,5794.652628,6767.081207,6372.968174,6501.121847,3894.468172,7236.62269,4191.983279,2.707338241
